arm,n_locus_cells,frac_strands_disagree,frac_fwd_only_correct,frac_rc_only_correct
BWA-no-clip,1285020,0.0770665048014817,0.010146145585282719,0.009785839909106473
BWA-std,1285020,0.041469393472475136,0.002209304135344197,0.0023906242704393706
NW-flex,1285020,0.01123095360383496,0.0,0.0
