N,snv_offset,delta,lflank,n_loci,frac_T,frac_D
5,1,2,2,5420,0.4833948339483395,0.18837638376383764
5,1,2,3,5420,0.3501845018450184,0.07693726937269373
5,1,2,4,5420,0.20830258302583027,0.02988929889298893
5,1,2,5,5420,0.10719557195571956,0.010885608856088561
5,1,2,6,5420,0.046678966789667896,0.003874538745387454
5,1,2,7,5420,0.018819188191881917,0.0012915129151291514
5,1,2,8,5420,0.005535055350553505,0.0
5,1,2,9,5420,0.0014760147601476014,0.0
5,1,2,10,5420,0.0007380073800738007,0.0
5,1,3,1,5420,0.5826568265682657,0.4173431734317343
5,1,3,2,5420,0.4833948339483395,0.18837638376383764
5,1,3,3,5420,0.3501845018450184,0.07693726937269373
5,1,3,4,5420,0.20830258302583027,0.02988929889298893
5,1,3,5,5420,0.10719557195571956,0.010885608856088561
5,1,3,6,5420,0.046678966789667896,0.003874538745387454
5,1,3,7,5420,0.018819188191881917,0.0012915129151291514
5,1,3,8,5420,0.005535055350553505,0.0
5,1,3,9,5420,0.0014760147601476014,0.0
5,1,3,10,5420,0.0007380073800738007,0.0
5,1,4,1,5420,0.5826568265682657,0.4173431734317343
5,1,4,2,5420,0.4833948339483395,0.18837638376383764
5,1,4,3,5420,0.3501845018450184,0.07693726937269373
5,1,4,4,5420,0.20830258302583027,0.02988929889298893
5,1,4,5,5420,0.10719557195571956,0.010885608856088561
5,1,4,6,5420,0.046678966789667896,0.003874538745387454
5,1,4,7,5420,0.018819188191881917,0.0012915129151291514
5,1,4,8,5420,0.005535055350553505,0.0
5,1,4,9,5420,0.0014760147601476014,0.0
5,1,4,10,5420,0.0007380073800738007,0.0
5,1,5,1,5420,0.5826568265682657,0.4173431734317343
5,1,5,2,5420,0.4833948339483395,0.18837638376383764
5,1,5,3,5420,0.3501845018450184,0.07693726937269373
5,1,5,4,5420,0.20830258302583027,0.02988929889298893
5,1,5,5,5420,0.10719557195571956,0.010885608856088561
5,1,5,6,5420,0.046678966789667896,0.003874538745387454
5,1,5,7,5420,0.018819188191881917,0.0012915129151291514
5,1,5,8,5420,0.005535055350553505,0.0
5,1,5,9,5420,0.0014760147601476014,0.0
5,1,5,10,5420,0.0007380073800738007,0.0
5,2,-5,1,5420,0.00018450184501845018,0.0
5,2,-5,2,5420,0.22804428044280442,0.23579335793357933
5,2,-5,3,5420,0.11771217712177122,0.10645756457564576
5,2,-5,4,5420,0.053690036900369005,0.033210332103321034
5,2,-5,5,5420,0.024354243542435424,0.016974169741697416
5,2,-5,6,5420,0.00977859778597786,0.007195571955719557
5,2,-5,7,5420,0.004428044280442804,0.0025830258302583027
5,2,-5,8,5420,0.0007380073800738007,0.0007380073800738007
5,2,-5,9,5420,0.00018450184501845018,0.00036900369003690036
5,2,-5,10,5420,0.00018450184501845018,0.00036900369003690036
5,2,-4,2,5420,0.3359778597785978,0.032103321033210334
5,2,-4,3,5420,0.15350553505535056,0.008118081180811807
5,2,-4,4,5420,0.06420664206642067,0.0018450184501845018
5,2,-4,5,5420,0.026568265682656828,0.00036900369003690036
5,2,-4,6,5420,0.010701107011070111,0.0
5,2,-4,7,5420,0.004797047970479705,0.0
5,2,-4,8,5420,0.0009225092250922509,0.0
5,2,-4,9,5420,0.00018450184501845018,0.0
5,2,-4,10,5420,0.00018450184501845018,0.0
5,2,-3,2,5420,0.3359778597785978,0.032103321033210334
5,2,-3,3,5420,0.15350553505535056,0.008118081180811807
5,2,-3,4,5420,0.06420664206642067,0.0018450184501845018
5,2,-3,5,5420,0.026568265682656828,0.00036900369003690036
5,2,-3,6,5420,0.010701107011070111,0.0
5,2,-3,7,5420,0.004797047970479705,0.0
5,2,-3,8,5420,0.0009225092250922509,0.0
