arm,N,snv_offset,n_loci,mean,p10,p25,median,p75,p90,frac_loci_at_100pct,frac_loci_at_95pct,frac_loci_at_50pct
BWA-no-clip,5,-1,5420.0,0.7766839986581684,0.6818181818181818,0.7545454545454545,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9935424354243543
BWA-no-clip,5,1,5420.0,0.5399261992619926,0.41818181818181815,0.4727272727272727,0.5363636363636364,0.6181818181818182,0.6636363636363637,0.0,0.0,0.6509225092250922
BWA-no-clip,5,2,5420.0,0.6144582354914457,0.5,0.5636363636363636,0.6272727272727273,0.6818181818181818,0.7090909090909091,0.0,0.0,0.9029520295202952
BWA-no-clip,5,3,5420.0,0.6431264676283127,0.5181818181818182,0.6,0.6636363636363637,0.7,0.7363636363636363,0.0,0.0,0.9321033210332104
BWA-no-clip,5,4,5420.0,0.6718366320026837,0.5545454545454546,0.6363636363636364,0.6909090909090909,0.7272727272727273,0.7636363636363637,0.0,0.0,0.9400369003690037
BWA-no-clip,5,5,5420.0,0.6968466957396847,0.5909090909090909,0.6636363636363637,0.7181818181818181,0.7545454545454545,0.7727272727272727,0.0,0.0,0.9704797047970479
BWA-no-clip,5,6,5420.0,0.7143508889634351,0.6181818181818182,0.6818181818181818,0.7363636363636363,0.7636363636363637,0.7909090909090909,0.0,0.0,0.9749077490774908
BWA-no-clip,5,10,5420.0,0.7704679637705467,0.6727272727272727,0.7454545454545455,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9924354243542436
BWA-no-clip,5,11,5420.0,0.7766839986581684,0.6818181818181818,0.7545454545454545,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9935424354243543
BWA-no-clip,10,-1,5420.0,0.7766236162361624,0.6818181818181818,0.7545454545454545,0.7909090909090909,0.8181818181818182,0.8454545454545455,0.0,0.0,0.9935424354243543
BWA-no-clip,10,1,5420.0,0.5399547131834954,0.41818181818181815,0.4727272727272727,0.5363636363636364,0.6181818181818182,0.6636363636363637,0.0,0.0,0.6509225092250922
BWA-no-clip,10,2,5420.0,0.6143156658839316,0.5,0.5636363636363636,0.6272727272727273,0.6818181818181818,0.7090909090909091,0.0,0.0,0.9027675276752768
BWA-no-clip,10,3,5420.0,0.643010734652801,0.5181818181818182,0.6,0.6636363636363637,0.7,0.7363636363636363,0.0,0.0,0.9309963099630997
BWA-no-clip,10,4,5420.0,0.6713284132841328,0.5454545454545454,0.6363636363636364,0.6909090909090909,0.7272727272727273,0.7636363636363637,0.0,0.0,0.9400369003690037
