pind,arm,delta,correct
405,NW-flex,-1,1.0
405,BWA-no-clip,0,1.0
405,BWA-std,0,1.0
405,NW-flex,0,1.0
405,BWA-no-clip,1,1.0
405,BWA-std,1,0.7
405,NW-flex,1,1.0
405,BWA-no-clip,2,1.0
405,BWA-std,2,0.5
405,NW-flex,2,1.0
405,BWA-no-clip,3,1.0
405,BWA-std,3,0.3
405,NW-flex,3,1.0
405,BWA-no-clip,4,1.0
405,BWA-std,4,0.1
405,NW-flex,4,1.0
405,BWA-no-clip,5,1.0
405,BWA-std,5,0.0
405,NW-flex,5,1.0
406,BWA-no-clip,-5,0.6
406,BWA-std,-5,0.1
406,NW-flex,-5,1.0
406,BWA-no-clip,-4,0.6
406,BWA-std,-4,0.2
406,NW-flex,-4,1.0
406,BWA-no-clip,-3,0.8
406,BWA-std,-3,0.4
406,NW-flex,-3,1.0
406,BWA-no-clip,-2,0.9
406,BWA-std,-2,0.6
406,NW-flex,-2,1.0
406,BWA-no-clip,-1,0.9
406,BWA-std,-1,0.7
406,NW-flex,-1,1.0
406,BWA-no-clip,0,1.0
406,BWA-std,0,1.0
406,NW-flex,0,1.0
406,BWA-no-clip,1,1.0
406,BWA-std,1,0.7
406,NW-flex,1,1.0
406,BWA-no-clip,2,1.0
406,BWA-std,2,0.5
406,NW-flex,2,1.0
406,BWA-no-clip,3,1.0
406,BWA-std,3,0.3
406,NW-flex,3,1.0
406,BWA-no-clip,4,1.0
406,BWA-std,4,0.1
406,NW-flex,4,1.0
406,BWA-no-clip,5,1.0
406,BWA-std,5,0.0
406,NW-flex,5,1.0
407,BWA-no-clip,-5,0.6
407,BWA-std,-5,0.1
407,NW-flex,-5,1.0
407,BWA-no-clip,-4,0.7
407,BWA-std,-4,0.2
407,NW-flex,-4,1.0
407,BWA-no-clip,-3,0.7
407,BWA-std,-3,0.4
407,NW-flex,-3,1.0
407,BWA-no-clip,-2,0.9
407,BWA-std,-2,0.6
407,NW-flex,-2,1.0
407,BWA-no-clip,-1,0.9
407,BWA-std,-1,0.7
407,NW-flex,-1,1.0
407,BWA-no-clip,0,1.0
407,BWA-std,0,1.0
407,NW-flex,0,1.0
407,BWA-no-clip,1,1.0
407,BWA-std,1,0.7
407,NW-flex,1,1.0
407,BWA-no-clip,2,1.0
407,BWA-std,2,0.5
407,NW-flex,2,1.0
407,BWA-no-clip,3,1.0
407,BWA-std,3,0.3
407,NW-flex,3,1.0
407,BWA-no-clip,4,1.0
407,BWA-std,4,0.1
407,NW-flex,4,1.0
407,BWA-no-clip,5,1.0
407,BWA-std,5,0.0
407,NW-flex,5,1.0
408,BWA-no-clip,-5,0.5
408,BWA-std,-5,0.1
408,NW-flex,-5,1.0
