pind,arm,delta,correct
724,BWA-std,4,0.1
724,NW-flex,4,1.0
724,BWA-no-clip,5,0.9
724,BWA-std,5,0.0
724,NW-flex,5,1.0
725,BWA-no-clip,-5,0.5
725,BWA-std,-5,0.1
725,NW-flex,-5,1.0
725,BWA-no-clip,-4,0.6
725,BWA-std,-4,0.2
725,NW-flex,-4,1.0
725,BWA-no-clip,-3,0.8
725,BWA-std,-3,0.4
725,NW-flex,-3,1.0
725,BWA-no-clip,-2,0.8
725,BWA-std,-2,0.6
725,NW-flex,-2,1.0
725,BWA-no-clip,-1,0.9
725,BWA-std,-1,0.7
725,NW-flex,-1,1.0
725,BWA-no-clip,0,1.0
725,BWA-std,0,1.0
725,NW-flex,0,1.0
725,BWA-no-clip,1,1.0
725,BWA-std,1,0.7
725,NW-flex,1,1.0
725,BWA-no-clip,2,1.0
725,BWA-std,2,0.5
725,NW-flex,2,1.0
725,BWA-no-clip,3,1.0
725,BWA-std,3,0.3
725,NW-flex,3,1.0
725,BWA-no-clip,4,1.0
725,BWA-std,4,0.1
725,NW-flex,4,1.0
725,BWA-no-clip,5,1.0
725,BWA-std,5,0.0
725,NW-flex,5,1.0
726,BWA-no-clip,-5,0.6
726,BWA-std,-5,0.1
726,NW-flex,-5,1.0
726,BWA-no-clip,-4,0.8
726,BWA-std,-4,0.2
726,NW-flex,-4,1.0
726,BWA-no-clip,-3,0.8
726,BWA-std,-3,0.4
726,NW-flex,-3,1.0
726,BWA-no-clip,-2,0.9
726,BWA-std,-2,0.6
726,NW-flex,-2,1.0
726,BWA-no-clip,-1,0.9
726,BWA-std,-1,0.7
726,NW-flex,-1,1.0
726,BWA-no-clip,0,1.0
726,BWA-std,0,1.0
726,NW-flex,0,1.0
726,BWA-no-clip,1,1.0
726,BWA-std,1,0.7
726,NW-flex,1,1.0
726,BWA-no-clip,2,1.0
726,BWA-std,2,0.5
726,NW-flex,2,1.0
726,BWA-no-clip,3,1.0
726,BWA-std,3,0.3
726,NW-flex,3,1.0
726,BWA-no-clip,4,1.0
726,BWA-std,4,0.1
726,NW-flex,4,1.0
726,BWA-no-clip,5,1.0
726,BWA-std,5,0.0
726,NW-flex,5,1.0
727,BWA-no-clip,-5,0.6
727,BWA-std,-5,0.1
727,NW-flex,-5,1.0
727,BWA-no-clip,-4,0.7
727,BWA-std,-4,0.2
727,NW-flex,-4,1.0
727,BWA-no-clip,-3,0.8
727,BWA-std,-3,0.4
727,NW-flex,-3,1.0
727,BWA-no-clip,-2,0.9
727,BWA-std,-2,0.6
727,NW-flex,-2,1.0
727,BWA-no-clip,-1,0.9
727,BWA-std,-1,0.7
727,NW-flex,-1,1.0
727,BWA-no-clip,0,1.0
727,BWA-std,0,1.0
727,NW-flex,0,1.0
727,BWA-no-clip,1,1.0
727,BWA-std,1,0.7
727,NW-flex,1,1.0
727,BWA-no-clip,2,1.0
727,BWA-std,2,0.5
727,NW-flex,2,1.0
727,BWA-no-clip,3,1.0
727,BWA-std,3,0.3
727,NW-flex,3,1.0
727,BWA-no-clip,4,1.0
727,BWA-std,4,0.1
727,NW-flex,4,1.0
727,BWA-no-clip,5,1.0
727,BWA-std,5,0.0
727,NW-flex,5,1.0
728,BWA-no-clip,-5,0.5
728,BWA-std,-5,0.1
728,NW-flex,-5,1.0
728,BWA-no-clip,-4,0.6
728,BWA-std,-4,0.2
728,NW-flex,-4,1.0
728,BWA-no-clip,-3,0.7
728,BWA-std,-3,0.4
728,NW-flex,-3,1.0
728,BWA-no-clip,-2,0.9
728,BWA-std,-2,0.6
728,NW-flex,-2,1.0
728,BWA-no-clip,-1,0.9
728,BWA-std,-1,0.7
728,NW-flex,-1,1.0
728,BWA-no-clip,0,1.0
728,BWA-std,0,1.0
728,NW-flex,0,1.0
728,BWA-no-clip,1,1.0
728,BWA-std,1,0.7
728,NW-flex,1,1.0
728,BWA-no-clip,2,1.0
728,BWA-std,2,0.5
728,NW-flex,2,1.0
728,BWA-no-clip,3,1.0
728,BWA-std,3,0.3
728,NW-flex,3,1.0
728,BWA-no-clip,4,1.0
728,BWA-std,4,0.1
728,NW-flex,4,1.0
728,BWA-no-clip,5,1.0
728,BWA-std,5,0.0
728,NW-flex,5,1.0
729,BWA-no-clip,-5,0.5
729,BWA-std,-5,0.1
729,NW-flex,-5,1.0
729,BWA-no-clip,-4,0.5
729,BWA-std,-4,0.2
729,NW-flex,-4,1.0
729,BWA-no-clip,-3,0.6
729,BWA-std,-3,0.3
729,NW-flex,-3,1.0
729,BWA-no-clip,-2,0.7
729,BWA-std,-2,0.5
729,NW-flex,-2,1.0
729,BWA-no-clip,-1,0.8
729,BWA-std,-1,0.7
729,NW-flex,-1,1.0
729,BWA-no-clip,0,1.0
729,BWA-std,0,1.0
729,NW-flex,0,1.0
729,BWA-no-clip,1,0.9
729,BWA-std,1,0.7
729,NW-flex,1,1.0
729,BWA-no-clip,2,0.9
729,BWA-std,2,0.5
729,NW-flex,2,1.0
729,BWA-no-clip,3,0.9
729,BWA-std,3,0.3
729,NW-flex,3,1.0
729,BWA-no-clip,4,0.9
729,BWA-std,4,0.1
729,NW-flex,4,1.0
729,BWA-no-clip,5,0.9
729,BWA-std,5,0.0
729,NW-flex,5,1.0
730,BWA-no-clip,-5,0.4
730,BWA-std,-5,0.1
730,NW-flex,-5,1.0
730,BWA-no-clip,-4,0.8
730,BWA-std,-4,0.2
730,NW-flex,-4,1.0
730,BWA-no-clip,-3,0.8
730,BWA-std,-3,0.4
730,NW-flex,-3,1.0
730,BWA-no-clip,-2,0.9
730,BWA-std,-2,0.6
730,NW-flex,-2,1.0
730,BWA-no-clip,-1,0.9
730,BWA-std,-1,0.7
730,NW-flex,-1,1.0
730,BWA-no-clip,0,1.0
730,BWA-std,0,1.0
730,NW-flex,0,1.0
730,BWA-no-clip,1,1.0
730,BWA-std,1,0.7
730,NW-flex,1,1.0
730,BWA-no-clip,2,1.0
730,BWA-std,2,0.5
730,NW-flex,2,1.0
730,BWA-no-clip,3,0.9
730,BWA-std,3,0.3
730,NW-flex,3,1.0
730,BWA-no-clip,4,1.0
730,BWA-std,4,0.1
730,NW-flex,4,1.0
730,BWA-no-clip,5,1.0
730,BWA-std,5,0.0
730,NW-flex,5,1.0
731,BWA-no-clip,-5,0.6
731,BWA-std,-5,0.1
731,NW-flex,-5,1.0
731,BWA-no-clip,-4,0.7
731,BWA-std,-4,0.2
731,NW-flex,-4,1.0
731,BWA-no-clip,-3,0.7
731,BWA-std,-3,0.4
731,NW-flex,-3,1.0
731,BWA-no-clip,-2,0.9
731,BWA-std,-2,0.6
731,NW-flex,-2,1.0
731,BWA-no-clip,-1,0.9
731,BWA-std,-1,0.7
731,NW-flex,-1,1.0
731,BWA-no-clip,0,1.0
731,BWA-std,0,1.0
731,NW-flex,0,1.0
731,BWA-no-clip,1,1.0
731,BWA-std,1,0.7
731,NW-flex,1,1.0
731,BWA-no-clip,2,1.0
731,BWA-std,2,0.5
731,NW-flex,2,1.0
731,BWA-no-clip,3,1.0
731,BWA-std,3,0.3
731,NW-flex,3,1.0
731,BWA-no-clip,4,1.0
731,BWA-std,4,0.1
731,NW-flex,4,1.0
731,BWA-no-clip,5,1.0
731,BWA-std,5,0.0
731,NW-flex,5,1.0
732,BWA-no-clip,-5,0.1
732,BWA-std,-5,0.1
732,NW-flex,-5,1.0
732,BWA-no-clip,-4,0.6
732,BWA-std,-4,0.2
732,NW-flex,-4,1.0
732,BWA-no-clip,-3,0.6
732,BWA-std,-3,0.4
732,NW-flex,-3,1.0
732,BWA-no-clip,-2,0.9
732,BWA-std,-2,0.6
732,NW-flex,-2,1.0
732,BWA-no-clip,-1,0.9
732,BWA-std,-1,0.7
732,NW-flex,-1,1.0
732,BWA-no-clip,0,1.0
732,BWA-std,0,1.0
732,NW-flex,0,1.0
732,BWA-no-clip,1,1.0
732,BWA-std,1,0.7
732,NW-flex,1,1.0
732,BWA-no-clip,2,0.9
732,BWA-std,2,0.5
732,NW-flex,2,1.0
732,BWA-no-clip,3,1.0
732,BWA-std,3,0.3
732,NW-flex,3,1.0
732,BWA-no-clip,4,0.9
732,BWA-std,4,0.1
732,NW-flex,4,1.0
732,BWA-no-clip,5,0.9
732,BWA-std,5,0.0
732,NW-flex,5,1.0
733,BWA-no-clip,-5,0.4
733,BWA-std,-5,0.1
733,NW-flex,-5,1.0
733,BWA-no-clip,-4,0.5
733,BWA-std,-4,0.2
733,NW-flex,-4,1.0
733,BWA-no-clip,-3,0.5
733,BWA-std,-3,0.4
733,NW-flex,-3,1.0
733,BWA-no-clip,-2,0.8
733,BWA-std,-2,0.5
733,NW-flex,-2,1.0
733,BWA-no-clip,-1,0.8
733,BWA-std,-1,0.7
733,NW-flex,-1,1.0
733,BWA-no-clip,0,1.0
733,BWA-std,0,1.0
733,NW-flex,0,1.0
733,BWA-no-clip,1,1.0
733,BWA-std,1,0.7
733,NW-flex,1,1.0
733,BWA-no-clip,2,1.0
733,BWA-std,2,0.5
733,NW-flex,2,1.0
733,BWA-no-clip,3,1.0
733,BWA-std,3,0.3
733,NW-flex,3,1.0
733,BWA-no-clip,4,1.0
733,BWA-std,4,0.1
733,NW-flex,4,1.0
733,BWA-no-clip,5,1.0
733,BWA-std,5,0.0
733,NW-flex,5,1.0
734,BWA-no-clip,-5,0.6
734,BWA-std,-5,0.1
734,NW-flex,-5,1.0
734,BWA-no-clip,-4,0.7
734,BWA-std,-4,0.2
734,NW-flex,-4,1.0
734,BWA-no-clip,-3,0.7
734,BWA-std,-3,0.4
734,NW-flex,-3,1.0
734,BWA-no-clip,-2,0.8
734,BWA-std,-2,0.5
734,NW-flex,-2,1.0
734,BWA-no-clip,-1,0.8
734,BWA-std,-1,0.7
734,NW-flex,-1,1.0
734,BWA-no-clip,0,1.0
734,BWA-std,0,1.0
734,NW-flex,0,1.0
734,BWA-no-clip,1,1.0
734,BWA-std,1,0.7
734,NW-flex,1,1.0
734,BWA-no-clip,2,0.9
734,BWA-std,2,0.5
734,NW-flex,2,1.0
734,BWA-no-clip,3,0.9
734,BWA-std,3,0.3
734,NW-flex,3,1.0
734,BWA-no-clip,4,0.9
734,BWA-std,4,0.1
734,NW-flex,4,1.0
734,BWA-no-clip,5,0.9
734,BWA-std,5,0.0
734,NW-flex,5,1.0
735,BWA-no-clip,-5,0.6
735,BWA-std,-5,0.1
735,NW-flex,-5,1.0
735,BWA-no-clip,-4,0.7
735,BWA-std,-4,0.2
735,NW-flex,-4,1.0
735,BWA-no-clip,-3,0.8
735,BWA-std,-3,0.4
735,NW-flex,-3,1.0
735,BWA-no-clip,-2,0.9
735,BWA-std,-2,0.6
735,NW-flex,-2,1.0
735,BWA-no-clip,-1,0.9
735,BWA-std,-1,0.7
735,NW-flex,-1,1.0
735,BWA-no-clip,0,1.0
735,BWA-std,0,1.0
735,NW-flex,0,1.0
735,BWA-no-clip,1,1.0
735,BWA-std,1,0.7
735,NW-flex,1,1.0
735,BWA-no-clip,2,1.0
735,BWA-std,2,0.5
735,NW-flex,2,1.0
735,BWA-no-clip,3,1.0
735,BWA-std,3,0.3
735,NW-flex,3,1.0
735,BWA-no-clip,4,1.0
735,BWA-std,4,0.1
735,NW-flex,4,1.0
735,BWA-no-clip,5,1.0
735,BWA-std,5,0.0
735,NW-flex,5,1.0
736,BWA-no-clip,-5,0.6
736,BWA-std,-5,0.1
736,NW-flex,-5,1.0
736,BWA-no-clip,-4,0.7
736,BWA-std,-4,0.2
736,NW-flex,-4,1.0
736,BWA-no-clip,-3,0.8
736,BWA-std,-3,0.4
736,NW-flex,-3,1.0
736,BWA-no-clip,-2,0.9
736,BWA-std,-2,0.6
736,NW-flex,-2,1.0
736,BWA-no-clip,-1,0.9
736,BWA-std,-1,0.7
736,NW-flex,-1,1.0
736,BWA-no-clip,0,1.0
736,BWA-std,0,1.0
736,NW-flex,0,1.0
736,BWA-no-clip,1,1.0
736,BWA-std,1,0.7
736,NW-flex,1,1.0
736,BWA-no-clip,2,1.0
736,BWA-std,2,0.5
736,NW-flex,2,1.0
736,BWA-no-clip,3,1.0
736,BWA-std,3,0.3
736,NW-flex,3,1.0
736,BWA-no-clip,4,1.0
736,BWA-std,4,0.1
736,NW-flex,4,1.0
736,BWA-no-clip,5,1.0
736,BWA-std,5,0.0
736,NW-flex,5,1.0
737,BWA-no-clip,-5,0.6
737,BWA-std,-5,0.1
737,NW-flex,-5,1.0
737,BWA-no-clip,-4,0.7
737,BWA-std,-4,0.2
737,NW-flex,-4,1.0
737,BWA-no-clip,-3,0.8
737,BWA-std,-3,0.4
737,NW-flex,-3,1.0
737,BWA-no-clip,-2,0.9
737,BWA-std,-2,0.6
737,NW-flex,-2,1.0
737,BWA-no-clip,-1,0.9
737,BWA-std,-1,0.7
737,NW-flex,-1,1.0
737,BWA-no-clip,0,1.0
737,BWA-std,0,1.0
737,NW-flex,0,1.0
737,BWA-no-clip,1,1.0
737,BWA-std,1,0.7
737,NW-flex,1,1.0
737,BWA-no-clip,2,1.0
737,BWA-std,2,0.5
737,NW-flex,2,1.0
737,BWA-no-clip,3,1.0
737,BWA-std,3,0.3
737,NW-flex,3,1.0
737,BWA-no-clip,4,1.0
737,BWA-std,4,0.1
737,NW-flex,4,1.0
737,BWA-no-clip,5,1.0
737,BWA-std,5,0.0
737,NW-flex,5,1.0
738,BWA-no-clip,-5,0.7
738,BWA-std,-5,0.1
738,NW-flex,-5,1.0
738,BWA-no-clip,-4,0.8
738,BWA-std,-4,0.2
738,NW-flex,-4,1.0
738,BWA-no-clip,-3,0.8
738,BWA-std,-3,0.4
738,NW-flex,-3,1.0
738,BWA-no-clip,-2,0.9
738,BWA-std,-2,0.6
738,NW-flex,-2,1.0
738,BWA-no-clip,-1,0.9
738,BWA-std,-1,0.7
738,NW-flex,-1,1.0
738,BWA-no-clip,0,1.0
738,BWA-std,0,1.0
738,NW-flex,0,1.0
738,BWA-no-clip,1,1.0
738,BWA-std,1,0.7
738,NW-flex,1,1.0
738,BWA-no-clip,2,1.0
738,BWA-std,2,0.5
738,NW-flex,2,1.0
738,BWA-no-clip,3,1.0
738,BWA-std,3,0.3
738,NW-flex,3,1.0
738,BWA-no-clip,4,1.0
738,BWA-std,4,0.1
738,NW-flex,4,1.0
738,BWA-no-clip,5,1.0
738,BWA-std,5,0.0
738,NW-flex,5,1.0
739,BWA-no-clip,-5,0.6
739,BWA-std,-5,0.1
739,NW-flex,-5,1.0
739,BWA-no-clip,-4,0.7
739,BWA-std,-4,0.2
739,NW-flex,-4,1.0
739,BWA-no-clip,-3,0.8
739,BWA-std,-3,0.4
739,NW-flex,-3,1.0
739,BWA-no-clip,-2,0.9
739,BWA-std,-2,0.6
739,NW-flex,-2,1.0
739,BWA-no-clip,-1,0.9
739,BWA-std,-1,0.7
739,NW-flex,-1,1.0
739,BWA-no-clip,0,1.0
739,BWA-std,0,1.0
739,NW-flex,0,1.0
739,BWA-no-clip,1,1.0
739,BWA-std,1,0.7
739,NW-flex,1,1.0
739,BWA-no-clip,2,1.0
739,BWA-std,2,0.5
739,NW-flex,2,1.0
739,BWA-no-clip,3,1.0
739,BWA-std,3,0.3
739,NW-flex,3,1.0
739,BWA-no-clip,4,1.0
739,BWA-std,4,0.1
739,NW-flex,4,1.0
739,BWA-no-clip,5,1.0
739,BWA-std,5,0.0
739,NW-flex,5,1.0
740,BWA-no-clip,-5,0.7
740,BWA-std,-5,0.1
740,NW-flex,-5,1.0
740,BWA-no-clip,-4,0.7
740,BWA-std,-4,0.2
740,NW-flex,-4,1.0
740,BWA-no-clip,-3,0.8
740,BWA-std,-3,0.4
740,NW-flex,-3,1.0
740,BWA-no-clip,-2,0.8
740,BWA-std,-2,0.6
740,NW-flex,-2,1.0
740,BWA-no-clip,-1,0.9
740,BWA-std,-1,0.7
740,NW-flex,-1,1.0
740,BWA-no-clip,0,1.0
740,BWA-std,0,1.0
740,NW-flex,0,1.0
740,BWA-no-clip,1,1.0
740,BWA-std,1,0.7
740,NW-flex,1,1.0
740,BWA-no-clip,2,1.0
740,BWA-std,2,0.5
740,NW-flex,2,1.0
740,BWA-no-clip,3,1.0
740,BWA-std,3,0.3
740,NW-flex,3,1.0
740,BWA-no-clip,4,1.0
740,BWA-std,4,0.1
740,NW-flex,4,1.0
740,BWA-no-clip,5,1.0
740,BWA-std,5,0.0
740,NW-flex,5,1.0
741,BWA-no-clip,-5,0.6
741,BWA-std,-5,0.1
741,NW-flex,-5,1.0
741,BWA-no-clip,-4,0.7
741,BWA-std,-4,0.2
741,NW-flex,-4,1.0
741,BWA-no-clip,-3,0.7
741,BWA-std,-3,0.4
741,NW-flex,-3,1.0
741,BWA-no-clip,-2,0.8
741,BWA-std,-2,0.5
741,NW-flex,-2,1.0
741,BWA-no-clip,-1,0.8
741,BWA-std,-1,0.7
741,NW-flex,-1,1.0
741,BWA-no-clip,0,1.0
741,BWA-std,0,1.0
741,NW-flex,0,1.0
741,BWA-no-clip,1,1.0
741,BWA-std,1,0.7
741,NW-flex,1,1.0
741,BWA-no-clip,2,1.0
741,BWA-std,2,0.5
741,NW-flex,2,1.0
741,BWA-no-clip,3,1.0
741,BWA-std,3,0.3
741,NW-flex,3,1.0
741,BWA-no-clip,4,1.0
741,BWA-std,4,0.1
741,NW-flex,4,1.0
741,BWA-no-clip,5,1.0
741,BWA-std,5,0.0
741,NW-flex,5,1.0
742,BWA-no-clip,-5,0.5
742,BWA-std,-5,0.1
742,NW-flex,-5,1.0
742,BWA-no-clip,-4,0.6
742,BWA-std,-4,0.2
742,NW-flex,-4,1.0
742,BWA-no-clip,-3,0.8
742,BWA-std,-3,0.4
742,NW-flex,-3,1.0
742,BWA-no-clip,-2,0.8
742,BWA-std,-2,0.6
742,NW-flex,-2,1.0
742,BWA-no-clip,-1,0.9
742,BWA-std,-1,0.7
742,NW-flex,-1,1.0
742,BWA-no-clip,0,1.0
742,BWA-std,0,1.0
742,NW-flex,0,1.0
742,BWA-no-clip,1,1.0
742,BWA-std,1,0.7
742,NW-flex,1,1.0
742,BWA-no-clip,2,1.0
742,BWA-std,2,0.5
742,NW-flex,2,1.0
742,BWA-no-clip,3,1.0
742,BWA-std,3,0.3
742,NW-flex,3,1.0
742,BWA-no-clip,4,1.0
742,BWA-std,4,0.1
742,NW-flex,4,1.0
742,BWA-no-clip,5,1.0
742,BWA-std,5,0.0
742,NW-flex,5,1.0
743,BWA-no-clip,-5,0.5
743,BWA-std,-5,0.1
743,NW-flex,-5,1.0
743,BWA-no-clip,-4,0.6
743,BWA-std,-4,0.2
743,NW-flex,-4,1.0
743,BWA-no-clip,-3,0.8
743,BWA-std,-3,0.4
743,NW-flex,-3,1.0
743,BWA-no-clip,-2,0.9
743,BWA-std,-2,0.6
743,NW-flex,-2,1.0
743,BWA-no-clip,-1,0.9
743,BWA-std,-1,0.7
743,NW-flex,-1,1.0
743,BWA-no-clip,0,1.0
743,BWA-std,0,1.0
743,NW-flex,0,1.0
743,BWA-no-clip,1,1.0
743,BWA-std,1,0.7
743,NW-flex,1,1.0
743,BWA-no-clip,2,1.0
743,BWA-std,2,0.5
743,NW-flex,2,1.0
743,BWA-no-clip,3,1.0
743,BWA-std,3,0.3
743,NW-flex,3,1.0
743,BWA-no-clip,4,1.0
743,BWA-std,4,0.1
743,NW-flex,4,1.0
743,BWA-no-clip,5,1.0
743,BWA-std,5,0.0
743,NW-flex,5,1.0
744,BWA-no-clip,-5,0.6
744,BWA-std,-5,0.1
744,NW-flex,-5,1.0
744,BWA-no-clip,-4,0.7
744,BWA-std,-4,0.2
744,NW-flex,-4,1.0
744,BWA-no-clip,-3,0.7
744,BWA-std,-3,0.4
744,NW-flex,-3,1.0
744,BWA-no-clip,-2,0.8
744,BWA-std,-2,0.5
744,NW-flex,-2,1.0
744,BWA-no-clip,-1,0.7
744,BWA-std,-1,0.7
744,NW-flex,-1,1.0
744,BWA-no-clip,0,1.0
744,BWA-std,0,1.0
744,NW-flex,0,1.0
744,BWA-no-clip,1,0.9
744,BWA-std,1,0.7
744,NW-flex,1,1.0
744,BWA-no-clip,2,1.0
744,BWA-std,2,0.5
744,NW-flex,2,1.0
744,BWA-no-clip,3,1.0
744,BWA-std,3,0.3
744,NW-flex,3,1.0
744,BWA-no-clip,4,0.8
744,BWA-std,4,0.1
744,NW-flex,4,1.0
744,BWA-no-clip,5,0.9
744,BWA-std,5,0.0
744,NW-flex,5,1.0
745,BWA-no-clip,-5,0.6
745,BWA-std,-5,0.1
745,NW-flex,-5,1.0
745,BWA-no-clip,-4,0.7
745,BWA-std,-4,0.2
745,NW-flex,-4,1.0
745,BWA-no-clip,-3,0.7
745,BWA-std,-3,0.4
745,NW-flex,-3,1.0
745,BWA-no-clip,-2,0.8
745,BWA-std,-2,0.5
745,NW-flex,-2,1.0
745,BWA-no-clip,-1,0.8
745,BWA-std,-1,0.7
745,NW-flex,-1,1.0
745,BWA-no-clip,0,1.0
745,BWA-std,0,1.0
745,NW-flex,0,1.0
745,BWA-no-clip,1,0.9
745,BWA-std,1,0.7
745,NW-flex,1,1.0
745,BWA-no-clip,2,0.9
745,BWA-std,2,0.5
745,NW-flex,2,1.0
745,BWA-no-clip,3,0.9
745,BWA-std,3,0.3
745,NW-flex,3,1.0
745,BWA-no-clip,4,0.9
745,BWA-std,4,0.1
745,NW-flex,4,1.0
745,BWA-no-clip,5,0.9
745,BWA-std,5,0.0
745,NW-flex,5,1.0
746,BWA-no-clip,-5,0.5
746,BWA-std,-5,0.1
746,NW-flex,-5,1.0
746,BWA-no-clip,-4,0.6
746,BWA-std,-4,0.2
746,NW-flex,-4,1.0
746,BWA-no-clip,-3,0.6
746,BWA-std,-3,0.4
746,NW-flex,-3,1.0
746,BWA-no-clip,-2,0.9
746,BWA-std,-2,0.6
746,NW-flex,-2,1.0
746,BWA-no-clip,-1,0.9
746,BWA-std,-1,0.7
746,NW-flex,-1,1.0
746,BWA-no-clip,0,1.0
746,BWA-std,0,1.0
746,NW-flex,0,1.0
746,BWA-no-clip,1,1.0
746,BWA-std,1,0.7
746,NW-flex,1,1.0
746,BWA-no-clip,2,0.8
746,BWA-std,2,0.5
746,NW-flex,2,1.0
746,BWA-no-clip,3,1.0
746,BWA-std,3,0.3
746,NW-flex,3,1.0
746,BWA-no-clip,4,1.0
746,BWA-std,4,0.1
746,NW-flex,4,1.0
746,BWA-no-clip,5,1.0
746,BWA-std,5,0.0
746,NW-flex,5,1.0
747,BWA-no-clip,-5,0.5
747,BWA-std,-5,0.1
747,NW-flex,-5,1.0
747,BWA-no-clip,-4,0.5
747,BWA-std,-4,0.2
747,NW-flex,-4,1.0
747,BWA-no-clip,-3,0.7
747,BWA-std,-3,0.4
747,NW-flex,-3,1.0
747,BWA-no-clip,-2,0.9
747,BWA-std,-2,0.6
747,NW-flex,-2,1.0
747,BWA-no-clip,-1,0.9
747,BWA-std,-1,0.7
747,NW-flex,-1,1.0
747,BWA-no-clip,0,1.0
747,BWA-std,0,1.0
747,NW-flex,0,1.0
747,BWA-no-clip,1,1.0
747,BWA-std,1,0.7
747,NW-flex,1,1.0
747,BWA-no-clip,2,1.0
747,BWA-std,2,0.5
747,NW-flex,2,1.0
747,BWA-no-clip,3,1.0
747,BWA-std,3,0.3
747,NW-flex,3,1.0
747,BWA-no-clip,4,1.0
747,BWA-std,4,0.1
747,NW-flex,4,1.0
747,BWA-no-clip,5,1.0
747,BWA-std,5,0.0
747,NW-flex,5,1.0
748,BWA-no-clip,-5,0.6
748,BWA-std,-5,0.1
748,NW-flex,-5,1.0
748,BWA-no-clip,-4,0.8
748,BWA-std,-4,0.2
748,NW-flex,-4,1.0
748,BWA-no-clip,-3,0.8
748,BWA-std,-3,0.4
748,NW-flex,-3,1.0
748,BWA-no-clip,-2,0.9
748,BWA-std,-2,0.6
748,NW-flex,-2,1.0
748,BWA-no-clip,-1,0.9
748,BWA-std,-1,0.7
748,NW-flex,-1,1.0
748,BWA-no-clip,0,1.0
748,BWA-std,0,1.0
748,NW-flex,0,1.0
748,BWA-no-clip,1,1.0
748,BWA-std,1,0.7
748,NW-flex,1,1.0
748,BWA-no-clip,2,1.0
748,BWA-std,2,0.5
748,NW-flex,2,1.0
748,BWA-no-clip,3,1.0
748,BWA-std,3,0.3
748,NW-flex,3,1.0
748,BWA-no-clip,4,1.0
748,BWA-std,4,0.1
748,NW-flex,4,1.0
748,BWA-no-clip,5,1.0
748,BWA-std,5,0.0
748,NW-flex,5,1.0
749,BWA-no-clip,-5,0.5
749,BWA-std,-5,0.1
749,NW-flex,-5,1.0
749,BWA-no-clip,-4,0.6
749,BWA-std,-4,0.2
749,NW-flex,-4,1.0
749,BWA-no-clip,-3,0.6
749,BWA-std,-3,0.4
749,NW-flex,-3,1.0
749,BWA-no-clip,-2,0.9
749,BWA-std,-2,0.6
749,NW-flex,-2,1.0
749,BWA-no-clip,-1,0.9
749,BWA-std,-1,0.7
749,NW-flex,-1,1.0
749,BWA-no-clip,0,1.0
749,BWA-std,0,1.0
749,NW-flex,0,1.0
749,BWA-no-clip,1,1.0
749,BWA-std,1,0.7
749,NW-flex,1,1.0
749,BWA-no-clip,2,1.0
749,BWA-std,2,0.5
749,NW-flex,2,1.0
749,BWA-no-clip,3,1.0
749,BWA-std,3,0.3
749,NW-flex,3,1.0
749,BWA-no-clip,4,1.0
749,BWA-std,4,0.1
749,NW-flex,4,1.0
749,BWA-no-clip,5,1.0
749,BWA-std,5,0.0
749,NW-flex,5,1.0
750,BWA-no-clip,-5,0.4
750,BWA-std,-5,0.1
750,NW-flex,-5,1.0
750,BWA-no-clip,-4,0.6
750,BWA-std,-4,0.2
750,NW-flex,-4,1.0
750,BWA-no-clip,-3,0.6
750,BWA-std,-3,0.4
750,NW-flex,-3,1.0
750,BWA-no-clip,-2,0.9
750,BWA-std,-2,0.6
750,NW-flex,-2,1.0
750,BWA-no-clip,-1,0.9
750,BWA-std,-1,0.7
750,NW-flex,-1,1.0
750,BWA-no-clip,0,1.0
750,BWA-std,0,1.0
750,NW-flex,0,1.0
750,BWA-no-clip,1,1.0
750,BWA-std,1,0.7
750,NW-flex,1,1.0
750,BWA-no-clip,2,1.0
750,BWA-std,2,0.5
750,NW-flex,2,1.0
750,BWA-no-clip,3,1.0
750,BWA-std,3,0.3
750,NW-flex,3,1.0
750,BWA-no-clip,4,1.0
750,BWA-std,4,0.1
750,NW-flex,4,1.0
750,BWA-no-clip,5,1.0
750,BWA-std,5,0.0
750,NW-flex,5,1.0
751,BWA-no-clip,-5,0.3
751,BWA-std,-5,0.1
751,NW-flex,-5,1.0
751,BWA-no-clip,-4,0.4
751,BWA-std,-4,0.2
751,NW-flex,-4,1.0
751,BWA-no-clip,-3,0.4
751,BWA-std,-3,0.4
751,NW-flex,-3,1.0
751,BWA-no-clip,-2,0.9
751,BWA-std,-2,0.6
751,NW-flex,-2,1.0
751,BWA-no-clip,-1,0.9
751,BWA-std,-1,0.7
751,NW-flex,-1,1.0
751,BWA-no-clip,0,1.0
751,BWA-std,0,1.0
751,NW-flex,0,1.0
751,BWA-no-clip,1,1.0
751,BWA-std,1,0.7
751,NW-flex,1,1.0
751,BWA-no-clip,2,1.0
751,BWA-std,2,0.5
751,NW-flex,2,1.0
751,BWA-no-clip,3,0.9
751,BWA-std,3,0.3
751,NW-flex,3,1.0
751,BWA-no-clip,4,0.8
751,BWA-std,4,0.1
751,NW-flex,4,1.0
751,BWA-no-clip,5,0.8
751,BWA-std,5,0.0
751,NW-flex,5,1.0
752,BWA-no-clip,-5,0.6
752,BWA-std,-5,0.1
752,NW-flex,-5,1.0
752,BWA-no-clip,-4,0.7
752,BWA-std,-4,0.2
752,NW-flex,-4,1.0
752,BWA-no-clip,-3,0.8
752,BWA-std,-3,0.4
752,NW-flex,-3,1.0
