pind,arm,snv_offset,correct
407,NW-flex,1,0.996969696969697
407,BWA-no-clip,10,0.8909090909090909
407,BWA-std,10,0.41818181818181815
407,NW-flex,10,1.0
407,BWA-no-clip,2,0.8545454545454545
407,BWA-std,2,0.13636363636363635
407,NW-flex,2,1.0
407,BWA-no-clip,3,0.8545454545454545
407,BWA-std,3,0.14545454545454545
407,NW-flex,3,1.0
407,BWA-no-clip,5,0.8818181818181818
407,BWA-std,5,0.2
407,NW-flex,5,1.0
407,BWA-no-clip,-1,0.8909090909090909
407,BWA-std,-1,0.41818181818181815
407,NW-flex,-1,1.0
408,BWA-no-clip,0,0.4636363636363636
408,BWA-std,0,0.10909090909090909
408,NW-flex,0,0.9
408,BWA-no-clip,1,0.7515151515151515
408,BWA-std,1,0.12727272727272726
408,NW-flex,1,1.0
408,BWA-no-clip,10,0.9
408,BWA-std,10,0.41818181818181815
408,NW-flex,10,1.0
408,BWA-no-clip,2,0.7818181818181819
408,BWA-std,2,0.13636363636363635
408,NW-flex,2,1.0
408,BWA-no-clip,3,0.7818181818181819
408,BWA-std,3,0.14545454545454545
408,NW-flex,3,1.0
408,BWA-no-clip,5,0.8636363636363636
408,BWA-std,5,0.2
408,NW-flex,5,1.0
408,BWA-no-clip,-1,0.9
408,BWA-std,-1,0.41818181818181815
408,NW-flex,-1,1.0
409,BWA-no-clip,0,0.7181818181818181
409,BWA-std,0,0.12727272727272726
409,NW-flex,0,0.996969696969697
409,BWA-no-clip,1,0.6727272727272727
409,BWA-std,1,0.12727272727272726
409,NW-flex,1,1.0
409,BWA-no-clip,10,0.9181818181818182
409,BWA-std,10,0.41818181818181815
409,NW-flex,10,1.0
409,BWA-no-clip,2,0.8363636363636363
409,BWA-std,2,0.13636363636363635
409,NW-flex,2,1.0
409,BWA-no-clip,3,0.8636363636363636
409,BWA-std,3,0.14545454545454545
409,NW-flex,3,1.0
409,BWA-no-clip,5,0.8818181818181818
409,BWA-std,5,0.2
409,NW-flex,5,1.0
409,BWA-no-clip,-1,0.9181818181818182
409,BWA-std,-1,0.41818181818181815
409,NW-flex,-1,1.0
410,BWA-no-clip,0,0.4636363636363636
410,BWA-std,0,0.10909090909090909
410,NW-flex,0,0.7
410,BWA-no-clip,1,0.6636363636363637
410,BWA-std,1,0.12727272727272726
410,NW-flex,1,0.9939393939393939
410,BWA-no-clip,10,0.7666666666666667
410,BWA-std,10,0.4090909090909091
410,NW-flex,10,1.0
410,BWA-no-clip,2,0.6090909090909091
410,BWA-std,2,0.12727272727272726
410,NW-flex,2,1.0
410,BWA-no-clip,3,0.5969696969696969
410,BWA-std,3,0.13636363636363635
410,NW-flex,3,0.996969696969697
410,BWA-no-clip,5,0.7121212121212122
410,BWA-std,5,0.19090909090909092
410,NW-flex,5,1.0
410,BWA-no-clip,-1,0.7666666666666667
410,BWA-std,-1,0.4090909090909091
410,NW-flex,-1,1.0
411,BWA-no-clip,0,0.8090909090909091
411,BWA-std,0,0.12727272727272726
411,NW-flex,0,0.9939393939393939
411,BWA-no-clip,1,0.7818181818181819
411,BWA-std,1,0.12727272727272726
411,NW-flex,1,1.0
411,BWA-no-clip,10,0.9
411,BWA-std,10,0.41818181818181815
411,NW-flex,10,1.0
411,BWA-no-clip,2,0.7727272727272727
411,BWA-std,2,0.13636363636363635
411,NW-flex,2,1.0
411,BWA-no-clip,3,0.8363636363636363
