pind,arm,lflank,correct
1498,BWA-std,5,0.2727272727272727
1498,NW-flex,5,1.0
1498,BWA-no-clip,6,0.8181818181818182
1498,BWA-std,6,0.36363636363636365
1498,NW-flex,6,1.0
1498,BWA-no-clip,7,0.8181818181818182
1498,BWA-std,7,0.2727272727272727
1498,NW-flex,7,1.0
1498,BWA-no-clip,8,0.8181818181818182
1498,BWA-std,8,0.45454545454545453
1498,NW-flex,8,1.0
1498,BWA-no-clip,9,1.0
1498,BWA-std,9,0.45454545454545453
1498,NW-flex,9,1.0
1498,BWA-no-clip,10,1.0
1498,BWA-std,10,0.45454545454545453
1498,NW-flex,10,1.0
1499,BWA-no-clip,1,0.5454545454545454
1499,BWA-std,1,0.09090909090909091
1499,NW-flex,1,1.0
1499,BWA-no-clip,2,0.5454545454545454
1499,BWA-std,2,0.09090909090909091
1499,NW-flex,2,1.0
1499,BWA-no-clip,3,0.6363636363636364
1499,BWA-std,3,0.18181818181818182
1499,NW-flex,3,1.0
1499,BWA-no-clip,4,0.7272727272727273
1499,BWA-std,4,0.09090909090909091
1499,NW-flex,4,1.0
1499,BWA-no-clip,5,0.7272727272727273
1499,BWA-std,5,0.2727272727272727
1499,NW-flex,5,1.0
1499,BWA-no-clip,6,0.9090909090909091
1499,BWA-std,6,0.36363636363636365
1499,NW-flex,6,1.0
1499,BWA-no-clip,7,0.9090909090909091
1499,BWA-std,7,0.2727272727272727
1499,NW-flex,7,1.0
1499,BWA-no-clip,8,1.0
1499,BWA-std,8,0.45454545454545453
1499,NW-flex,8,1.0
1499,BWA-no-clip,9,1.0
1499,BWA-std,9,0.45454545454545453
1499,NW-flex,9,1.0
1499,BWA-no-clip,10,1.0
1499,BWA-std,10,0.45454545454545453
1499,NW-flex,10,1.0
1500,BWA-no-clip,1,0.5454545454545454
1500,BWA-std,1,0.09090909090909091
1500,NW-flex,1,1.0
1500,BWA-no-clip,2,0.5454545454545454
1500,BWA-std,2,0.09090909090909091
1500,NW-flex,2,1.0
1500,BWA-no-clip,3,0.6363636363636364
1500,BWA-std,3,0.18181818181818182
1500,NW-flex,3,1.0
1500,BWA-no-clip,4,0.8181818181818182
1500,BWA-std,4,0.09090909090909091
1500,NW-flex,4,1.0
1500,BWA-no-clip,5,0.8181818181818182
1500,BWA-std,5,0.2727272727272727
1500,NW-flex,5,1.0
1500,BWA-no-clip,6,0.9090909090909091
1500,BWA-std,6,0.36363636363636365
1500,NW-flex,6,1.0
1500,BWA-no-clip,7,1.0
1500,BWA-std,7,0.2727272727272727
1500,NW-flex,7,1.0
1500,BWA-no-clip,8,1.0
1500,BWA-std,8,0.45454545454545453
1500,NW-flex,8,1.0
1500,BWA-no-clip,9,1.0
1500,BWA-std,9,0.45454545454545453
1500,NW-flex,9,1.0
1500,BWA-no-clip,10,1.0
1500,BWA-std,10,0.45454545454545453
1500,NW-flex,10,1.0
1501,BWA-no-clip,1,0.5454545454545454
1501,BWA-std,1,0.09090909090909091
1501,NW-flex,1,1.0
1501,BWA-no-clip,2,0.6363636363636364
1501,BWA-std,2,0.09090909090909091
1501,NW-flex,2,1.0
1501,BWA-no-clip,3,0.8181818181818182
1501,BWA-std,3,0.18181818181818182
1501,NW-flex,3,1.0
1501,BWA-no-clip,4,0.7272727272727273
1501,BWA-std,4,0.09090909090909091
1501,NW-flex,4,1.0
1501,BWA-no-clip,5,0.8181818181818182
1501,BWA-std,5,0.2727272727272727
1501,NW-flex,5,1.0
1501,BWA-no-clip,6,1.0
1501,BWA-std,6,0.36363636363636365
1501,NW-flex,6,1.0
1501,BWA-no-clip,7,0.9090909090909091
1501,BWA-std,7,0.2727272727272727
1501,NW-flex,7,1.0
1501,BWA-no-clip,8,0.9090909090909091
1501,BWA-std,8,0.45454545454545453
1501,NW-flex,8,1.0
1501,BWA-no-clip,9,1.0
1501,BWA-std,9,0.45454545454545453
1501,NW-flex,9,1.0
1501,BWA-no-clip,10,1.0
1501,BWA-std,10,0.45454545454545453
1501,NW-flex,10,1.0
1502,BWA-no-clip,1,0.5454545454545454
1502,BWA-std,1,0.09090909090909091
1502,NW-flex,1,1.0
1502,BWA-no-clip,2,0.5454545454545454
1502,BWA-std,2,0.09090909090909091
1502,NW-flex,2,1.0
1502,BWA-no-clip,3,0.7272727272727273
1502,BWA-std,3,0.18181818181818182
1502,NW-flex,3,1.0
1502,BWA-no-clip,4,0.7272727272727273
1502,BWA-std,4,0.09090909090909091
1502,NW-flex,4,1.0
1502,BWA-no-clip,5,0.8181818181818182
1502,BWA-std,5,0.2727272727272727
1502,NW-flex,5,1.0
1502,BWA-no-clip,6,0.8181818181818182
1502,BWA-std,6,0.36363636363636365
1502,NW-flex,6,1.0
1502,BWA-no-clip,7,0.8181818181818182
1502,BWA-std,7,0.2727272727272727
1502,NW-flex,7,1.0
1502,BWA-no-clip,8,0.9090909090909091
1502,BWA-std,8,0.45454545454545453
1502,NW-flex,8,1.0
1502,BWA-no-clip,9,1.0
1502,BWA-std,9,0.45454545454545453
1502,NW-flex,9,1.0
1502,BWA-no-clip,10,1.0
1502,BWA-std,10,0.45454545454545453
1502,NW-flex,10,1.0
1503,BWA-no-clip,1,0.09090909090909091
1503,BWA-std,1,0.09090909090909091
1503,NW-flex,1,1.0
1503,BWA-no-clip,2,0.5454545454545454
1503,BWA-std,2,0.09090909090909091
1503,NW-flex,2,1.0
1503,BWA-no-clip,3,0.6363636363636364
1503,BWA-std,3,0.18181818181818182
1503,NW-flex,3,1.0
1503,BWA-no-clip,4,0.8181818181818182
1503,BWA-std,4,0.09090909090909091
1503,NW-flex,4,1.0
1503,BWA-no-clip,5,0.8181818181818182
1503,BWA-std,5,0.2727272727272727
1503,NW-flex,5,1.0
1503,BWA-no-clip,6,0.9090909090909091
1503,BWA-std,6,0.36363636363636365
1503,NW-flex,6,1.0
1503,BWA-no-clip,7,0.9090909090909091
1503,BWA-std,7,0.2727272727272727
1503,NW-flex,7,1.0
1503,BWA-no-clip,8,0.9090909090909091
1503,BWA-std,8,0.45454545454545453
1503,NW-flex,8,1.0
1503,BWA-no-clip,9,1.0
1503,BWA-std,9,0.45454545454545453
1503,NW-flex,9,1.0
1503,BWA-no-clip,10,1.0
1503,BWA-std,10,0.45454545454545453
1503,NW-flex,10,1.0
1504,BWA-no-clip,1,0.5454545454545454
1504,BWA-std,1,0.09090909090909091
1504,NW-flex,1,1.0
1504,BWA-no-clip,2,0.6363636363636364
1504,BWA-std,2,0.09090909090909091
1504,NW-flex,2,1.0
1504,BWA-no-clip,3,0.8181818181818182
1504,BWA-std,3,0.18181818181818182
1504,NW-flex,3,1.0
1504,BWA-no-clip,4,0.8181818181818182
1504,BWA-std,4,0.09090909090909091
1504,NW-flex,4,1.0
1504,BWA-no-clip,5,0.7272727272727273
1504,BWA-std,5,0.2727272727272727
1504,NW-flex,5,1.0
1504,BWA-no-clip,6,0.8181818181818182
1504,BWA-std,6,0.36363636363636365
1504,NW-flex,6,1.0
1504,BWA-no-clip,7,1.0
