pind1,pind2,arm,bridge_len,correct
608,2730,BWA-no-clip,4,1.0
608,2730,BWA-std,4,1.0
608,2730,NW-flex,4,1.0
608,2730,BWA-no-clip,5,1.0
608,2730,BWA-std,5,1.0
608,2730,NW-flex,5,1.0
612,4068,BWA-no-clip,1,0.5041322314049587
612,4068,BWA-std,1,0.39669421487603307
612,4068,NW-flex,1,1.0
612,4068,BWA-no-clip,2,0.9338842975206612
612,4068,BWA-std,2,0.9008264462809917
612,4068,NW-flex,2,1.0
612,4068,BWA-no-clip,3,1.0
612,4068,BWA-std,3,1.0
612,4068,NW-flex,3,1.0
612,4068,BWA-no-clip,4,1.0
612,4068,BWA-std,4,1.0
612,4068,NW-flex,4,1.0
612,4068,BWA-no-clip,5,1.0
612,4068,BWA-std,5,1.0
612,4068,NW-flex,5,1.0
623,5310,BWA-no-clip,1,0.4380165289256198
623,5310,BWA-std,1,0.5950413223140496
623,5310,NW-flex,1,1.0
623,5310,BWA-no-clip,2,0.4214876033057851
623,5310,BWA-std,2,0.5867768595041323
623,5310,NW-flex,2,1.0
623,5310,BWA-no-clip,3,0.8347107438016529
623,5310,BWA-std,3,0.8677685950413223
623,5310,NW-flex,3,1.0
623,5310,BWA-no-clip,4,0.6694214876033058
623,5310,BWA-std,4,0.7768595041322314
623,5310,NW-flex,4,1.0
623,5310,BWA-no-clip,5,1.0
623,5310,BWA-std,5,1.0
623,5310,NW-flex,5,1.0
627,6298,BWA-no-clip,1,0.2975206611570248
627,6298,BWA-std,1,0.4214876033057851
627,6298,NW-flex,1,1.0
627,6298,BWA-no-clip,2,0.2892561983471074
627,6298,BWA-std,2,0.4297520661157025
627,6298,NW-flex,2,1.0
627,6298,BWA-no-clip,3,0.5867768595041323
627,6298,BWA-std,3,0.6694214876033058
627,6298,NW-flex,3,1.0
627,6298,BWA-no-clip,4,0.5867768595041323
627,6298,BWA-std,4,0.6776859504132231
627,6298,NW-flex,4,1.0
627,6298,BWA-no-clip,5,0.5867768595041323
627,6298,BWA-std,5,0.6859504132231405
627,6298,NW-flex,5,1.0
633,1811,BWA-no-clip,1,0.2975206611570248
633,1811,BWA-std,1,0.4628099173553719
633,1811,NW-flex,1,1.0
633,1811,BWA-no-clip,2,0.5454545454545454
633,1811,BWA-std,2,0.6528925619834711
633,1811,NW-flex,2,1.0
633,1811,BWA-no-clip,3,0.9256198347107438
633,1811,BWA-std,3,0.9338842975206612
633,1811,NW-flex,3,1.0
633,1811,BWA-no-clip,4,0.9256198347107438
633,1811,BWA-std,4,0.9338842975206612
633,1811,NW-flex,4,1.0
633,1811,BWA-no-clip,5,1.0
633,1811,BWA-std,5,1.0
633,1811,NW-flex,5,1.0
634,1683,BWA-no-clip,1,0.18181818181818182
634,1683,BWA-std,1,0.4380165289256198
634,1683,NW-flex,1,1.0
634,1683,BWA-no-clip,2,0.6033057851239669
634,1683,BWA-std,2,0.7768595041322314
634,1683,NW-flex,2,1.0
634,1683,BWA-no-clip,3,0.35537190082644626
634,1683,BWA-std,3,0.628099173553719
634,1683,NW-flex,3,1.0
634,1683,BWA-no-clip,4,0.8842975206611571
634,1683,BWA-std,4,0.9256198347107438
634,1683,NW-flex,4,1.0
634,1683,BWA-no-clip,5,0.8512396694214877
634,1683,BWA-std,5,0.9338842975206612
634,1683,NW-flex,5,1.0
637,4284,BWA-no-clip,1,0.7107438016528925
637,4284,BWA-std,1,0.6859504132231405
637,4284,NW-flex,1,1.0
637,4284,BWA-no-clip,2,1.0
637,4284,BWA-std,2,1.0
637,4284,NW-flex,2,1.0
637,4284,BWA-no-clip,3,0.7520661157024794
637,4284,BWA-std,3,0.7603305785123967
637,4284,NW-flex,3,1.0
